OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
129942997,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,0,15,398602.812134,136388.571628,
129942998,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,8,26,396217.559402,136051.443606,
129942999,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,0,21,393785.303628,137766.943071,
129943000,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,19,0,400747.472059,136903.449625,
129943001,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,14,1,395360.753563,137331.48835,
129943002,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,30,17,399572.334523,136567.848754,
129943003,114,North Capitol St & F St NW,31624,38.897446,-77.009888,YES,NO,,,NO,13,10,399142.245958,136621.833529,
129943004,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,11,8,397646.216803,137528.073592,
129943005,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,5,10,393900.888913,139414.328181,
129943006,117,14th & G St NW,31238,38.898069,-77.031823,YES,NO,,,NO,0,21,397239.475325,136691.426198,
129943007,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,19,4,395612.785067,130691.762252,
129943008,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,19,2,395959.439116,135143.527302,
129943009,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,0,14,397660.013989,136667.757074,
129943010,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,0,19,395672.806435,136473.996639,
129943011,127,Lynn & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,0,30,393841.561641,136609.639671,
129943012,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,1,17,393727.510729,136308.342547,
129943013,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,6,9,393373.114147,136179.639954,
